SOURCE_ID,l,b,parallax,parallax_error
2069437770040725632,81.6397940420177,0.8825914773437302,0.35471317941690184,0.23443769969528422
2069448112326210432,81.81258719024204,0.5579543235234072,1.6312110331081255,0.257056906966595
2069440965496335744,81.66393989627329,0.6038557135999026,0.3991194530825315,0.439693165309803
2069438049214804224,81.64846972433044,0.9179159338761499,0.8661421434210056,0.06281453285123845
2069441171654765056,81.65566017880391,0.6140944814865394,1.3390759237350396,0.3446802121875478
2069443817354620800,81.63412823384789,0.6486635874150005,,
2069421105567548416,81.57638321515765,0.6958349873359448,0.15307856133376008,0.32420802899363976
2069433990470094464,81.54963664557458,0.8254562744896226,0.5123066298695208,0.5046882438290485
2069452342864798464,82.02137698556187,0.6795642621411533,0.6377333100119987,0.4316509527623995
2069420487092621824,81.59250610041039,0.6714371985939404,0.6902215271728195,0.2767832678338042
2069453785974918272,81.85485813785509,0.7565058283682016,1.9039494749910868,0.02469893141474749
2069416265140894976,81.50367663076143,0.57066972678559,1.0242869857433223,0.10156195255959223
2069447493846989568,81.80047592010243,0.7125531692158422,1.9570198531156542,0.48105966523743243
2069445982017559424,81.76182160051165,0.656305557550904,0.8323843355089378,0.5125782031441746
2069447738660963968,81.79841778581437,0.7499394533497974,1.1003152868837907,0.5228458926181346
2069440518823912192,81.61759884485572,0.5958686064543148,,
2069435399222548096,81.51051360760091,0.8473130260174744,,
2069415784104215424,81.53281106669318,0.5206410602899408,1.4153775363160717,0.8445496078359268
2069420487092622720,81.59827295466509,0.6788310965897426,3.2722248959781863,0.8354894449869359
2069416333860372352,81.50367354917189,0.5875881340374023,1.2480741956216523,0.030123305020664546
2069449727230323200,81.86824898067466,0.6296710745751984,,
2069420487092622464,81.59211940518367,0.6791458695266159,0.7573552461667893,0.6224963595027188
2069439865984676864,81.6416560575749,0.5452404802646817,-0.42715916583229546,0.3478556917818097
2069420865050670976,81.51736668621491,0.7205017394138494,,
2069432925318832768,81.54654008851084,0.7659766435218108,,
2069436846623974784,81.54540809686027,0.9539188165309186,0.50893124812855,0.041834186501571134
2069452647806899200,81.88270909887105,0.6928741732751416,0.6039154037598338,0.17412034226021667
2069437946135582848,81.63192513496752,0.9058215131596459,0.604590170464648,0.09407828871955885
2069447768724628224,81.80801984385609,0.7495698976656281,1.6076130736031826,0.47410948650690493
2069421243006867072,81.60413126155888,0.688972191746531,0.9158083787355091,0.5817882597596564
2069445814515583744,81.72009273023117,0.650699910627431,0.4642815923614487,0.10193695901242233
2069448357135023616,81.80199849814656,0.5940752379141905,-0.8227680408971975,0.9508513727811452
2069438014855059840,81.6692172019154,0.9073358566029801,1.5084422789622558,0.026284798946566337
2069435742819895552,81.51915014044474,0.8946160569759755,,
2069441897505389184,81.72628423021115,0.5799009502006068,2.43360600471526,0.4128721134238119
2069440243942524928,81.65830660667199,0.5743777890687694,1.0559044805990783,1.5014440263891673
2069434780744981376,81.64901451963074,0.8535627478762841,0.9549732796264568,0.738590112239997
2069420452732521344,81.58996470988608,0.6820075304702756,2.994878060243742,1.1349536181634021
2069450517505550848,81.93612525423949,0.5864229726553976,,
2069419838553383040,81.52330793538046,0.660069442332224,1.1491097049719703,0.02762781554498883
2069421483525036288,81.59425115958656,0.727833755013038,0.48691089830194756,0.23812047127478075
2069436949703190656,81.54894248791506,0.9547887113657813,1.0618028827819797,0.14138215358852196
2069434368427218176,81.60772278514334,0.8271298636497653,0.28244078531408856,0.5775881373930309
2069450040761552896,81.88943307305196,0.6544234501627533,0.40545752830104265,0.5853118655406532
2069448181040815872,81.83381710844418,0.5549509844608516,1.3771645460369413,0.26020073708415525
2069417154201736064,81.56536820720653,0.6218543486562521,1.1326425051519093,1.2942821651547867
2069436984062930432,81.57130254553361,0.9585740694111268,1.144232263171829,0.030304610243714294
2069450276986087296,81.91155341157913,0.5792278719935888,1.1131260843709032,0.9671589622926274
2069452239786662656,82.01136129833517,0.6737341372465735,2.08406402915152,0.025430730255633322
2069443233238488448,81.79780144013152,0.6003836061579262,1.4463167518672608,0.13658012359903024
2069436812264238720,81.53595373703068,0.9581855294934799,-0.3530397573903115,0.4339829389701004
2069420349652645504,81.5621547320001,0.6678851670016034,0.6331887824545218,0.21579718947243598
2069443271894933760,81.78260736484644,0.6199366948948974,1.0470361782873008,0.08954787168433422
2069447115889865856,81.76096307628268,0.7264786195904722,0.36894390044994524,0.5772407041254772
2069437289004979584,81.56566136201076,0.8951020672382198,-0.20369671507992831,0.5390858121399339
2069432375561738368,81.5030391983214,0.8183374256082456,1.4703812574020283,0.4079252992074604
2069438354158035968,81.61648366466014,0.9458868293093684,,
2069453369364109440,81.92709083162799,0.7033388362333587,,
2069449727229983360,81.86587186674116,0.6233351097104681,2.409044862995755,0.38797975666455353
2069416879320846592,81.55727935802601,0.5842301726975268,0.7064072024286195,0.7550130317106304
2069445951954539776,81.74782834082089,0.6596404265858424,0.6254236052976158,0.03276549793984793
